matchTimestamp,type.primary,type.secondary,player.name,team.name,pass.recipient.name
00:54:27.496,pass,"['lateral_pass', 'short_or_medium_pass']",Zhang Linyan,Grasshopper,J. Egli
00:54:29.903,pass,"['lateral_pass', 'short_or_medium_pass']",J. Egli,Grasshopper,E. Pápai
00:54:31.766,pass,"['lateral_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,Marta Cazalla
00:54:35.510,pass,"['cross', 'lateral_pass', 'loss']",Marta Cazalla,Grasshopper,L. Vetterlein
00:54:41.593,pass,"['forward_pass', 'long_pass']",V. Pinther,Zürich,S. Piubel
00:54:56.642,pass,"['forward_pass', 'hand_pass', 'recovery', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,E. Pápai
00:55:01.676,pass,"['forward_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,E. Ljustina
00:55:05.627,pass,"['back_pass', 'short_or_medium_pass']",E. Ljustina,Grasshopper,K. Buzás
00:55:09.907,pass,"['forward_pass', 'short_or_medium_pass']",K. Buzás,Grasshopper,S. Jackson
00:55:13.279,pass,"['forward_pass', 'pass_to_final_third', 'short_or_medium_pass']",S. Jackson,Grasshopper,
00:55:28.157,pass,"['back_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",S. Piubel,Zürich,Zhang Linyan
00:55:32.029,pass,"['forward_pass', 'loss', 'pass_to_penalty_area', 'short_or_medium_pass']",E. Ljustina,Grasshopper,S. Friedli
00:55:35.695,pass,"['hand_pass', 'lateral_pass', 'recovery', 'short_or_medium_pass']",S. Friedli,Zürich,N. Mégroz
00:55:43.765,pass,"['forward_pass', 'loss', 'pass_to_final_third', 'short_or_medium_pass']",N. Mégroz,Zürich,Marta Cazalla
00:55:53.235,pass,"['lateral_pass', 'recovery', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,V. Laino
00:55:59.362,pass,"['forward_pass', 'long_pass']",V. Laino,Grasshopper,R. Rinast
00:56:02.299,pass,"['forward_pass', 'loss', 'short_or_medium_pass']",R. Rinast,Grasshopper,N. Riesen
00:56:05.851,pass,"['lateral_pass', 'short_or_medium_pass']",M. Höbinger,Zürich,N. Mégroz
00:56:12.418,pass,"['lateral_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,L. Vetterlein
00:56:15.637,pass,"['back_pass', 'short_or_medium_pass']",L. Vetterlein,Zürich,S. Friedli
00:56:20.159,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,L. Vetterlein
00:56:23.909,pass,"['forward_pass', 'short_or_medium_pass']",L. Vetterlein,Zürich,N. Mégroz
00:56:26.717,pass,"['lateral_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,M. Rey
00:56:27.750,pass,"['back_pass', 'short_or_medium_pass', 'under_pressure']",M. Rey,Zürich,L. Vetterlein
00:56:31.087,pass,"['lateral_pass', 'short_or_medium_pass']",L. Vetterlein,Zürich,S. Friedli
00:56:35.046,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,J. Stierli
00:56:36.339,pass,"['lateral_pass', 'short_or_medium_pass']",J. Stierli,Zürich,S. Friedli
00:56:39.813,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,L. Vetterlein
00:56:44.924,pass,"['forward_pass', 'long_pass']",L. Vetterlein,Zürich,A. Pilgrim
