,id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,carry.progression,carry.endLocation.x,carry.endLocation.y,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,possession,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,shot.goalkeeper,infraction.opponent,location
691,0,0,1H,38,34,0:38:34.910,0,0,,,,,,shot,[],72.9,56.6,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Nahla Elodie Nakkach,RDMF,False,17.0,,29.8,0,,,100.0,43.8,0,5.0,"['attack', 'counterattack']",,0,15.4,41.8,100.0,43.8,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,right_foot,False,False,,,,0,0,Seraina Friedli,,0,,,,,,0,,,
692,0,0,1H,38,36,0:38:36.730,0,0,,,,,,game_interruption,"['ball_out', 'touch_in_box']",100.0,43.8,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,,,,,,,0,,,,,0,5.0,,,0,,,,,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
693,0,0,1H,39,3,0:39:03.000,0,0,,,,,,goal_kick,['touch_in_box'],5.1,51.3,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Seraina Friedli,GK,True,85.3,,20.8,0,Laura Vetterlein,LCB3,6.8,20.9,0,5.0,[],,0,5.1,51.3,30.7,0.0,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
694,0,0,1H,39,5,0:39:05.890,0,0,,,,,,pass,"['forward_pass', 'loss', 'short_or_medium_pass']",4.7,18.5,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Laura Vetterlein,LCB3,False,22.8,,31.7,0,,,32.6,0.4,0,2.0,[],,0,5.1,51.3,30.7,0.0,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,False,False,False,right flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
695,0,0,1H,39,8,0:39:08.490,0,0,,,,,,game_interruption,['ball_out'],30.7,0.0,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,,,,,,,0,,,,,0,2.0,,,0,,,,,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,False,False,False,right flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
696,0,0,1H,39,15,0:39:15.040,0,0,,,,,,throw-in,[],66.8,100.0,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Monica Soraia Amaral Mendes,RB,True,80.3,,10.7,0,Maeva Jocelyne Clemaron,LDMF,68.5,84.6,0,2.0,"['throw-in', 'attack']",,0,66.8,100.0,31.5,16.6,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,right flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
697,0,0,1H,39,16,0:39:16.110,0,0,,,,,,duel,"['defensive_duel', 'ground_duel']",68.5,84.6,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Marie-Therese Hobinger,LDMF,,,,,0,,,,,0,4.0,"['throw-in', 'attack']",,0,,100.0,31.5,16.6,0,Servette Chenois,4-2-3-1,,,0,Maeva Jocelyne Clemaron,LDMF,defensive_duel,,,False,False,,,0,,,,0,,,False,False,False,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
698,0,0,1H,39,16,0:39:16.110,0,0,,,,,,duel,"['defensive_duel', 'ground_duel']",68.5,84.6,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Marie-Therese Hobinger,LDMF,,,,,0,,,,,0,4.0,"['throw-in', 'attack']",,0,,100.0,31.5,16.6,0,Servette Chenois,4-2-3-1,,,0,Maeva Jocelyne Clemaron,LDMF,defensive_duel,,,False,False,,,0,,,,0,,,False,False,False,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
699,0,0,1H,39,16,0:39:16.590,0,0,,,,,,infraction,['foul'],31.5,16.6,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Marie-Therese Hobinger,LDMF,,,,,0,,,,,0,4.0,,,0,,,,,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
700,0,0,1H,40,5,0:40:05.120,0,0,,,,,,free_kick,"['touch_in_box', 'loss', 'free_kick_cross']",70.1,88.2,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,False,55.7,,55.8,0,,,100.0,20.4,0,20.0,"['attack', 'direct_free_kick']",,0,70.1,88.2,100.0,20.6,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
701,0,0,1H,40,9,0:40:09.330,0,0,,,,,,game_interruption,"['ball_out', 'touch_in_box']",100.0,20.6,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,,,,,,,0,,,,,0,20.0,,,0,,,,,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
702,0,0,1H,40,30,0:40:30.300,0,0,,,,,,goal_kick,[],5.2,42.9,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Seraina Friedli,GK,True,69.4,,27.3,0,,,14.4,5.3,0,20.0,[],,0,5.2,42.9,62.7,82.1,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
703,0,0,1H,40,35,0:40:35.810,0,0,,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",16.2,14.3,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Naomi Megroz,LB,True,-118.3,,24.7,0,Seraina Friedli,GK,5.0,46.2,0,20.0,[],,0,5.2,42.9,62.7,82.1,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,,
704,0,0,1H,40,47,0:40:47.680,0,0,,,,,,pass,"['forward_pass', 'loss', 'short_or_medium_pass']",6.8,49.9,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Seraina Friedli,GK,False,34.1,,38.7,0,,,37.3,17.9,0,14.0,[],,0,5.2,42.9,62.7,82.1,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
705,0,0,1H,40,50,0:40:50.080,0,0,,,,,,interception,[],62.7,82.1,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Natalia Alessandra Padilla-Bidas,LWF,,,,,0,,,,,0,14.0,,,0,,,,,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
706,0,0,1H,40,50,0:40:50.080,0,0,,,,,,pass,"['forward_pass', 'pass_to_final_third', 'short_or_medium_pass']",62.7,82.1,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Natalia Alessandra Padilla-Bidas,LWF,True,9.7,,11.3,0,Paula Serrano Castano,AMF,73.2,79.3,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
707,0,0,1H,40,52,0:40:52.530,0,0,,,,,,duel,"['defensive_duel', 'ground_duel']",71.5,82.1,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Irina Pando Brutsch,LW,,,,,0,,,,,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,Paula Serrano Castano,AMF,defensive_duel,,,False,False,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
708,0,0,1H,40,52,0:40:52.530,0,0,,,,,,duel,"['defensive_duel', 'ground_duel']",71.5,82.1,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Irina Pando Brutsch,LW,,,,,0,,,,,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,Paula Serrano Castano,AMF,defensive_duel,,,False,False,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
709,0,0,1H,40,53,0:40:53.580,0,0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",72.2,82.5,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Paula Serrano Castano,AMF,True,138.6,,8.9,0,Maeva Jocelyne Clemaron,LDMF,65.8,73.8,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
710,0,0,1H,40,56,0:40:56.000,0,0,,,,,,pass,"['forward_pass', 'pass_to_final_third', 'loss', 'short_or_medium_pass']",66.4,61.3,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Maeva Jocelyne Clemaron,LDMF,False,30.6,,19.3,0,,,82.2,46.9,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
711,0,0,1H,40,56,0:40:56.800,0,0,,,,,,interception,[],17.8,53.1,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Nadine Andrina Riesen,RB,,,,,0,,,,,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
712,0,0,1H,40,58,0:40:58.990,0,0,,,,,,pass,"['lateral_pass', 'loss', 'short_or_medium_pass']",28.9,53.5,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Nadine Andrina Riesen,RB,False,-74.7,,19.3,0,,,33.7,80.9,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
